# iteration	testing	training	exclusive testing
2000	0.142825631411	0.14939694083	0.124767801858
4000	0.0636373662733	0.0596750420105	0.0597523219814
6000	0.0379949266571	0.0323524182587	0.0266253869969
8000	0.0291717216279	0.0224648860697	0.0238390092879
10000	0.0292268666593	0.0223788576574	0.0213622291022
12000	0.0259181647734	0.0186050779704	0.0167182662539
14000	0.0226094628874	0.0150033551081	0.0164086687307
16000	0.0268004852763	0.0188516927524	0.015479876161
18000	0.0207896768501	0.0138677800655	0.0123839009288
20000	0.0219477225102	0.0146936528237	0.0130030959752
22000	0.0205690967244	0.0127952925253	0.012693498452
24000	0.0207345318187	0.013615430056	0.0133126934985
26000	0.0231609132017	0.0144183619043	0.0145510835913
28000	0.0201830815044	0.012462649331	0.0139318885449
30000	0.0195213411272	0.0111148708714	0.0123839009288
32000	0.0184735855299	0.0108969322268	0.0120743034056
34000	0.0180324252785	0.010346350388	0.0136222910217
36000	0.0177015550899	0.0107764924496	0.0108359133127
38000	0.0175361199956	0.00975562195674	0.00959752321981
40000	0.0227748979817	0.0153417335299	0.0139318885449
42000	0.0200727914415	0.0137989573356	0.0148606811146
44000	0.0199073563472	0.0137588107432	0.012693498452
46000	0.0149443035183	0.0100481185586	0.0130030959752
